ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2016/05/05 18:23:45"
"Settings=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Margreet\Block setttings\3x8-22x18 HMO 3rd-3.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Anthony\05_04_2016\10087926_gain 400.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/#2)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=45, 0"
"JpegOrigin=45, 715"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4000B [86761]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=3.32"
"Filters=<Empty>"
"ScanRegion=9,0,4400,14300"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/#2)"	"Ratio of Means (635/#2)"	"Median of Ratios (635/#2)"	"Mean of Ratios (635/#2)"	"Ratios SD (635/#2)"	"Rgn Ratio (635/#2)"	"Rgn R2 (635/#2)"	"Log Ratio (635/#2)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/#2)"	"Sum of Means (635/#2)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	1	1	""	""	245	1175	200	39	113	244	215	34	34	54	221	409	9	5	0	144048	0.267	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	79	5	79	1272	4428	100	1
0	0	0	1	2	1	""	""	505	1175	200	35	44	69	156	31	31	43	120	279	1	1	0	55786	0.008	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	13	4	13	1272	4121	100	2
0	0	0	1	3	1	""	""	765	1175	200	30	31	9	29	29	29	38	113	297	0	0	0	39876	-0.062	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	4160	100	3
0	0	0	1	4	1	""	""	1025	1175	200	27	27	6	22	28	28	31	35	112	0	0	0	34741	-0.114	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	-1	-1	-1	1272	4190	100	4
0	0	0	1	5	1	""	""	1285	1175	200	28	29	6	20	28	28	30	23	76	1	0	0	37030	-0.043	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	4190	100	5
0	0	0	1	6	1	""	""	1545	1175	200	30	33	20	60	30	30	33	23	69	4	1	0	42470	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	3	0	3	1272	4424	100	6
0	0	0	1	7	1	""	""	1805	1175	200	36	43	34	79	34	34	37	23	62	10	4	0	54375	0.261	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	9	2	9	1272	4520	100	7
0	0	0	1	8	1	""	""	2065	1175	200	31	33	18	54	33	33	39	38	97	1	0	0	41986	-0.158	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-2	0	-2	0	1272	4520	100	8
0	0	0	1	9	1	""	""	2325	1175	200	33	36	26	72	33	33	43	74	172	1	1	0	45862	-0.095	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	3	0	3	1272	4520	100	9
0	0	0	1	10	1	""	""	2585	1175	200	30	33	18	54	34	34	47	77	163	1	0	0	41757	-0.182	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-4	-1	-4	-1	1272	4520	100	10
0	0	0	1	11	1	""	""	2845	1175	200	31	34	24	70	35	35	45	70	155	1	1	0	43475	-0.157	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-4	-1	-4	-1	1272	4520	100	11
0	0	0	1	12	1	""	""	3105	1175	200	30	41	97	236	34	34	42	65	154	2	1	0	51628	-0.015	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-4	7	-4	7	1272	4520	100	12
0	0	0	1	13	1	""	""	3365	1175	200	31	43	152	353	31	31	36	40	111	4	2	0	54632	0.175	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	12	0	12	1272	4520	100	13
0	0	0	1	14	1	""	""	3625	1175	200	30	32	12	37	30	30	32	13	40	6	1	0	40185	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	2	0	2	1272	4520	100	14
0	0	0	1	15	1	""	""	3885	1175	200	30	31	6	19	31	31	33	26	78	0	0	0	38989	-0.077	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	1272	4520	100	15
0	0	0	1	16	1	""	""	4145	1175	200	31	32	18	56	31	31	33	27	81	1	1	0	40991	-0.037	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	4520	100	16
